robot_name,image_target_location,ros_master_uri,ros_master_port,image_target_width
Aloy,https://www.eecs.tufts.edu/~bmille12/images/Astronaut-scaled.jpg,10.0.20.135,10000,0.1
Raphael,https://www.eecs.tufts.edu/~bmille12/images/horse.jpg,10.0.60.27,10000,0.1
